,,,Codename,Customer
,,,Allsorts,Aescape
,,,Altoids,Alta Motors (OOB)
,,,Toffee/Rolo Parent,Amazon
,,,Abba-Zaba,Anduril Industries
,,,Atomic Fireball,Apple
,,,Almond Joy,Arista
,,,,AstraZeneca Bricanyl
,,,Andes,"August, Inc. (Acquired)"
,,,Aero,Axon
,,,Bonbon,Backbone
,,,Baby Ruth,Bang & Olufsen
,,,Starburst,"Block, Inc. (formally square)"
,,,Butterfingers,Bose
,,,Coffee Crisp,Carbon Revolution
,,,Cachou,Cerebras Systems
,,,Crunch Bar,ChargePoint
,,,Mamba,CISCO (via acquisition of Meraki)
,,,Cherry Pie,Cora (now Wisk Aero)
,,,Cotton Candy,Cruise Automation
,,,Donut,DJI
,,,Eclipse,Eargo
,,,Eclair,Ecobee
,,,Toffee,Eero
,,,Espresso ,Empatica
,,,Xigua,Exponent
,,,Fanta,F5
,,,Fortune Cookie,Fitbit
,,,Flan,"FLIR Systems, Inc."
,,,Flanby,Flock Safety
,,,Fruit Stripe,Fossil
,,,Gummybear,Glowforge
,,,Gobstoppers,Google
,,,Gumdrop,GoPro
,,,Gelato,"Gridware, Inc."
,,,Haribo,Henkel
,,,HBO,Honeywell
,,,Hot Tamale,Humane
,,,Icee,Intuitive Surgical
,,,Jelly Belly,Jabil
,,,Juicy Fruit,Juul Labs Inc.
,,,Keebler,Keysight Technologies
,,,Key Lime Pie,Kitty Hawk (OOB)
,,,Knish,KNS
,,,Lot 100,L3Harris Technologies
,,,Airheads,Lab 126 (Amazon)
,,,Life Savers,Lenovo
,,,Licorice,Light (No longer making HW)
,,,Lemondrop,Logitech
,,,Laffy Taffy,Lutron Electronics
,,,M&M's,Mabe
,,,Mamba,Meraki (now owned by Cisco)
,,,MilkyWay,Meraki (POC)
,,,Fundip,Meta (fka as Facebook)
,,,Mars,Microsoft Corporation
,,,Mike N Ike,Microtek
,,,Mentos,Motorola Mobility
,,,Mint,Motorola Solutions
,,,Nilla,Nest
,,,Necco,Netgear
,,,Forrest Gump,Nike
,,,Nougat,Nokia / Withings
,,,Nerds,NVIDIA Data Centers
,,,Oreo,Oculus
,,,Otter Pops,Opal Camera
,,,Opera,OURA
,,,Orbit,Owletcare
,,,Pez,P2i
,,,Kitkat,Pearl Auto (OOB)
,,,Peeps,Peloton
,,,Pop Rocks,Poly
,,,Pop Tarts,Puffco
,,,Quality Street,QSC Audio Products
,,,Reese's,Razer
,,,Rolo,Ring
,,,Razzle,Rocket EMS
,,,Smarties,Seacomp
,,,Skor,Sesame AI
,,,Snickers,Snap Group Limited
,,,Sweetarts,Softmatter
,,,Sour Patch Kids,SolarEdge 
,,,Spearmint,Spellman High Voltage Electronics Corporation
,,,Spree,Spire
,,,SunnyHills,Supermicro
,,,Toblerone,Tesla
,,,Twizzlers,Toast
,,,Tribala,Tractian
,,,Violet Crumble,Valve Corporation
,,,Vanilla,Velodyne
,,,Viennetta,View
,,,Warheads,Whirlpool
,,,Whoppers,Whoop
,,,Skittles,Xylem (Sensus)
,,,Zingers,Zebra Technologies
,,,ZERO,ZT Systems
,,,Zots,Zwift