"Deployment Checklist — External Parties, organized by functional area",,,,,,,,,,,,
"External checklist for standard + standalone stations, i.e. where instrumental is responsible for desiging, procuring, and installing hardware, MES, image streams, data streams",,,,,,,,,,,,
,,,,,,,,,,,,
#,Hubspot Stage,Checklist Item,Gating (Yes / no / project specific),Check,IN Team Ownership / documentation,Projected Completion Date (T-X days from 2+2+2),Actual Completion Date,Project Specific Roadblocks ,Documentation / SOP link,,,
1. Security & Onsite Readiness ,,,,,,,,,,,Acronyms,
1.1,,Obtained/provided all necessary documentation for security and internet clearance,,FALSE,,,,,,,SA,Solutions Architect
1.1.1,,Tools check in,,FALSE,,,,,,,CSE,Customer Success Executive 
1.1.2,,Ease and location of factory entry / exit,,FALSE,,,,,,,FDE,Forward Deployed Engineer 
1.1.3,,Prior knowledge of food availability,,FALSE,,,,,,,TPM,Technical Program Manager 
1.1.4,,Customer / CM Oversight necessity of IN employees,,FALSE,,,,,,,HDE,Hardware Design Engineer
,,,,,,,,,,,,
2. Line access & Production readiness ,,,,,,,,,,,,
2.1,,Customer + CM alignment meeting,,FALSE,,,,,,,,
2.1.1,,"Supervisors, leads, and operators aware of deployment timing",,FALSE,,,,,,,,
2.1.2,,Necessary personnel should be involved in alignment/kick off meeting,,FALSE,,,,,,,,
2.1.3,,"Clear dates, actions, and owners for any open items with defined cadence for follow up and owner accountability",,FALSE,,,,,,,,
2.1.4,,Business value to CM shared,,FALSE,,,,,,,,
2.2,,Production line scheduled downtime confirmed,,FALSE,,,,,,,,
2.2.1,,Line will be fully stopped during installation,,FALSE,,,,,,,,
2.2.2,,Shift schedule and ability to work after hours,,FALSE,,,,,,,,
2.3,,Safety approvals cleared (lockout/tagout if needed),,FALSE,,,,,,,,
2.4,,PPE requirements conveyed,,FALSE,,,,,,,,
2.4.1,,Customer/Instrumental to provide PPE,,FALSE,,,,,,,,
2.4.2,,"Understanding requirements for: Eye glasses, steel toed shoes (+necessary ground rating required), coat, ear coverings",,FALSE,,,,,,,,
2.5,,Physical access to station location guaranteed,,FALSE,,,,,,,,
,,,,,,,,,,,,
3. Station Location & Layout,,,,,,,,,,,,
3.1,,Installation location confirmed and documented,,FALSE,,,,,,,,
3.2,,Installation location cleared and evidence provided,,FALSE,,,,,,,,
3.3,,Conveyed distance from the following: (If possible have electrical and layout drawing),,FALSE,,,,,,,,
3.3.1,,Power source,,FALSE,,,,,,,,
3.3.2,,Ethernet port,,FALSE,,,,,,,,
3.3.3,,Installation vs production intent location representativeness,,FALSE,,,,,,,,
3.4,,Mounting surface available and compatible,,FALSE,,,,,,,,
3.5,,Space constraints reviewed (no interference with operators),,FALSE,,,,,,,,
3.6,,Line process flow compatible,,FALSE,,,,,,,,
,,,,,,,,,,,,
4. Network & IT Requirements ,,,,,,,,,,,,
4.1,,Internet access need,,FALSE,,,,,,,,
4.1.1,,Yes → Confirm connectivity available,,FALSE,,,,,,,,
4.1.1.1,,Confirm ability to bring adapters in case of internet down,,FALSE,,,,,,,,
4.1.2,,No → Confirm offline workflow,,FALSE,,,,,,,,
4.1.2.1,,"Date to close with actions and owners defined, with appropriate cadence of follow up and escalation levels",,FALSE,,,,,,,,
4.2,,Required IP addresses provided to customer IT and Instrumental TPM / FDE,,FALSE,,,,,,,,
4.3,,Firewall rules configured (whitelisting Instrumental endpoints),,FALSE,,,,,,,,
4.4,,Ethernet ports active and tested,,FALSE,,,,,,,,
4.5,,Network speed sufficient for high-res image transfer,,FALSE,,,,,,,,
4.6,,Correct cable type available (CAT6 or higher) or escalated to Instrumental TPM,,FALSE,,,,,,,,
4.7,,Cable length sufficient for actual layout (avoid short cable issue),,FALSE,,,,,,,,
,,,,,,,,,,,,
5. Equipment Handling & Logistics,,,,,,,,,,,,
5.1,,Equipment delivered and stored safely,,FALSE,,,,,,,,
5.2,,Designated workspace to store and use equipment / tools,,FALSE,,,,,,,,
5.3,,Access for moving equipment to line confirmed,,FALSE,,,,,,,,
5.4,,Required tools available onsite (or brought by team),,FALSE,,,,,,,,
5.5,,Local support contact identified,,FALSE,,,,,,,,
5.6,,Test sample ready to be used for setup and inspection,,FALSE,,,,,,,,
,,,,,,,,,,,,
6. Validation & Production Integration (SAT),,,,,,,,,,,,
6.1,,Golden units available for validation,,FALSE,,,,,,,,
6.2,,Known defect samples available,,FALSE,,,,,,,,
6.3,,Cycle time expectations defined,,FALSE,,,,,,,,
6.4,,Acceptance criteria and type (SAT vs FAT) agreed and quantitatively defined (what = “working”),,FALSE,,,,,,,,
,,,,,,,,,,,,
7. Coordination & Communication,,,,,,,,,,,,
7.1,,External stakeholder matrix clearly assigned,,FALSE,,,,,,,,
7.1.1,,"CM: Key POC, IT POC, Process engineer, PM, Manager",,FALSE,,,,,,,,
7.1.2,,"Customer: Assigned POC, assigned manager",,FALSE,,,,,,,,
7.2,,Escalation path defined by type of issue and level of escalation,,FALSE,,,,,,,,
7.2.1,,Level 1 = CM Point of contact,,FALSE,,,,,,,,
7.2.2,,Level 2 = Customer Point of contact,,FALSE,,,,,,,,
7.2.3,,Level 3 = CM management,,FALSE,,,,,,,,
7.2.4,,Level 4 = Customer management,,FALSE,,,,,,,,
7.3,,Language / shift coordination considered (if global site),,FALSE,,,,,,,,
,,,,,,,,,,,,
8. Final Pre-Deployment Confirmation,,,,,,,,,,,,
8.1,,Line ready,,FALSE,,,,,,,,
8.2,,Infrastructure ready,,FALSE,,,,,,,,
8.3,,IT ready,,FALSE,,,,,,,,
8.4,,Personnel ready,,FALSE,,,,,,,,
8.5,,Anticipating risks and proactive mitigation prior to onsite presence,,FALSE,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Notes / Additional Items:,,,,,,,,,,,,