SI Deployment Checklist — Organized by HubSpot CRM Sales Pipeline Stages,,,,,,,,,,,,,,
Combined Internal + External checklist organized by deployment lifecycle. [Internal] = Instrumental team only. [External] = Customer/CM/SI facing. [Both] = Joint responsibility.,,,,,,,,,,,,,,
Lifecycle: SIRD Drafting > SIRD Approved > DFM (SI) > DFM Approved > Quote Received > Quote Approved > PO Issued > Build > FAT > Shipped > SAT > Warranty/Legal Window > Deployment Complete,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
#,Stage,Type,Checklist Item,Gating (Yes / no),IN Team Ownership,Date (T-X days from 2+2+2),Status,Documentation / SOP link,,,,,,
1. SIRD DRAFTING,,,,,,,,,,,,,Acronyms,
1.1,1,[Internal],"Scope AOI use case with customer and site (product, inspection type, line layout)",,SA / HDE,,,,,,,,SA,Solutions Architect
1.2,1,[Internal],"Define imaging requirements (camera type, lens, lighting, working distance, resolution)",,SA / HDE,,,,,,,,CSE,Customer Success Executive 
1.3,1,[Internal],"Define mechanical requirements (fixture dimensions, mounting interfaces, GD&T, CTQs)",,SA / HDE,,,,,,,,FDE,Forward Deployed Engineer 
1.4,1,[Internal],"Define automation requirements (cycle time target, UPH target, motion control type)",,SA / HDE,,,,,,,,TPM,Technical Program Manager 
1.5,1,[Internal],Define performance specs: Target UPH: ___ | Cycle time/unit: ___ | Automation sequence budget: ___ | AI + operator review budget: ___,,SA / HDE,,,,,,,,HDE,Hardware Design Engineer
1.6,1,[Internal],"Include calibration and validation procedures (aperture, focus, gain)",,TPM ,,,,,,,,SI PM ,Systems Integrator Program Manager
1.7,1,[Internal],Include 2D drawings (Section 7.3) and provide 3D CAD models of imaging hardware to SI,,SA / HDE,,,,,,,,,
1.8,1,[Internal],"SIRD version-controlled and stored in shared repository (e.g., Google Drive)",,SI PM ,,,,,,,,,
1.9,1,[External],"Customer confirms product scope, inspection priorities, and line/site details",,CSE,,,,,,,,,
2. SIRD APPROVED,,,,,,,,,,,,,,
2.1,2,[Internal],Cross-functional review completed: HDE / SA / TPM / Product Mgmt reviewed and approved SIRD,,,,,,,,,,,
2.2,2,[Internal],SIRD version number locked: ___,,,,,,,,,,,
2.3,2,[Both],SI acknowledged receipt and confirmed understanding of SIRD,,,,,,,,,,,
2.4,2,[Both],Customer (OEM) acknowledged and approved SIRD scope,,,,,,,,,,,
2.5,2,[Internal],SIRD sent to SI with all referenced drawings and CAD files,,,,,,,,,,,
2.6,2,[Internal],SIRD templatization status confirmed (reusable for future deployments),,,,,,,,,,,
3. DFM (SI),,,,,,,,,,,,,,
3.1,3,[Internal],"SI DFM package received (mechanical fixture design, automation layout, electrical design)",,,,,,,,,,,
3.2,3,[Internal],"Mechanical fixture design reviewed: dimensions, tolerances, material selection",,,,,,,,,,,
3.3,3,[Internal],"Layout drawings reviewed: line integration, space constraints, operator access, conveyor alignment",,,,,,,,,,,
3.4,3,[Internal],"Automation design reviewed: motion control, conveyors, lifters, gantry systems, tray feeders, rotation platforms",,,,,,,,,,,
3.5,3,[Internal],Camera module mounting and positioning validated against SIRD imaging specs,,,,,,,,,,,
3.6,3,[Internal],"Safety features reviewed: e-stops, light curtains, guards, lockout/tagout provisions",,,,,,,,,,,
3.7,3,[Internal],Cable routing and length requirements validated vs. real factory layout,,,,,,,,,,,
3.8,3,[Internal],Power and compressed air supply requirements documented,,,,,,,,,,,
3.9,3,[External],CM/Customer confirms line layout compatibility and installation location dimensions,,,,,,,,,,,
4. DFM APPROVED,,,,,,,,,,,,,,
4.1,4,[Internal],DFM formally approved by Instrumental (SA + HDE + TPM sign-off),,,,,,,,,,,
4.2,4,[Internal],Any design changes from original SIRD documented via change-order process,,,,,,,,,,,
4.3,4,[Internal],"Impact on cost, schedule, and performance assessed for any deviations",,,,,,,,,,,
4a. Confirm BOM & Hardware Instrumental Needs to Provide,,,,,,,,,,,,,,
4.4,4,[Internal],Hardware responsibility confirmed: [ ] SI sourcing per IN spec  OR  [ ] IN consigning to SI,,,,,,,,,,,
4.5,4,[Internal],"Cameras procured/allocated (type, qty): ___",,,,,,,,,,,
4.6,4,[Internal],"Lenses procured/allocated (type, qty): ___",,,,,,,,,,,
4.7,4,[Internal],"Lighting procured/allocated (type, qty): ___",,,,,,,,,,,
4.8,4,[Internal],Edge AI PC / station computer sized and procured,,,,,,,,,,,
4.9,4,[Internal],Monitor(s) procured (incl. 2nd monitor for pass/fail if required),,,,,,,,,,,
4.10,4,[Internal],"All cables, adapters, connectors, stacklights, barcode scanners included",,,,,,,,,,,
4.11,4,[Internal],"BOM finalized: all parts identified as MTO or OTS, long lead items flagged, spares ordered",,,,,,,,,,,
4.12,4,[Internal],3D CAD models of all IN-supplied hardware delivered to SI,,,,,,,,,,,
4b. Station Provisioning Requirements,,,,,,,,,,,,,,
4.13,4,[Internal],Station provisioning kicked off per onboarding form (link: https://docs.google.com/forms/d/[FORM_ID]),,,,,,,,,,,
4.14,4,[Internal],Station type(s) confirmed: [ ] Manual  [ ] Semi-auto  [ ] Fully automated,,,,,,,,,,,
4.15,4,[Internal],Project ID / Project Name / Scope documented: ___,,,,,,,,,,,
4.16,4,[Internal],Target shipping date for provisioned stations confirmed: ___,,,,,,,,,,,
4.17,4,[Internal],Number of stations to provision: ___,,,,,,,,,,,
4.18,4,[Internal],Station computer OS and Instrumental software image confirmed,,,,,,,,,,,
5. QUOTE RECEIVED,,,,,,,,,,,,,,
5.1,5,[Internal],"SI quote received covering: design, fabrication, integration, shipping, installation, spare parts, taxes/duties",,,,,,,,,,,
5.2,5,[Internal],Quote includes subsystem responsibility split (SI vs. Instrumental vs. site-provided),,,,,,,,,,,
5.3,5,[Internal],Shipping term and destination explicit (Incoterm),,,,,,,,,,,
5.4,5,[Internal],Quote validity period and currency confirmed,,,,,,,,,,,
5.5,5,[Internal],"Warranty duration and coverage confirmed in quote (e.g., 1yr vs 3yr)",,,,,,,,,,,
5.6,5,[Internal],Change-order process and pricing rules included,,,,,,,,,,,
5.7,5,[Internal],Quote reviewed against Appendix A minimum fields (per Exec Memo),,,,,,,,,,,
6. QUOTE APPROVED,,,,,,,,,,,,,,
6.1,6,[Internal],Quote pricing confirmed acceptable by Instrumental and customer,,,,,,,,,,,
6.2,6,[Internal],"Payment milestone schedule agreed (e.g., 60/20/20)",,,,,,,,,,,
6.3,6,[Internal],Customer (OEM) budget confirmed,,,,,,,,,,,
6.4,6,[Both],"Ownership & title transfer model confirmed (e.g., OEM-owned, CM-consigned)",,,,,,,,,,,
6.5,6,[Both],"Warranty start trigger defined (e.g., SAT sign-off date)",,,,,,,,,,,
6.6,6,[Internal],SI framework agreement or SOW executed,,,,,,,,,,,
6.7,6,[Internal],NDA with SI executed; IP protection / station hardening plan confirmed,,,,,,,,,,,
6.8,6,[Internal],Asset tagging and serialization plan agreed,,,,,,,,,,,
7. PO ISSUED,,,,,,,,,,,,,,
7a. SI Kicks Off Orders,,,,,,,,,,,,,,
7.1,7,[Both],PO issued to SI; SI confirms receipt and kickoff date,,,,,,,,,,,
7.2,7,[Internal],SI build schedule received and baselined: BOM > Fabrication > Assembly > Debug > FAT,,,,,,,,,,,
7.3,7,[Internal],Milestone dates aligned with deployment target date,,,,,,,,,,,
7.4,7,[Both],Weekly/biweekly build status cadence established with SI,,,,,,,,,,,
7.5,7,[Internal],"SI material lead times confirmed and tracked (L/T standard parts, electrical, fabrication)",,,,,,,,,,,
7b. Provision Stations (Instrumental),,,,,,,,,,,,,,
7.6,7,[Internal],Station provisioning onboarding form completed (link: https://docs.google.com/forms/d/[FORM_ID]),,,,,,,,,,,
7.7,7,[Internal],Station type(s): ___,,,,,,,,,,,
7.8,7,[Internal],Project ID / Project Name / Scope: ___,,,,,,,,,,,
7.9,7,[Internal],Shipping date for provisioned stations to SI or site: ___,,,,,,,,,,,
7.10,7,[Internal],"Station computer provisioned with OS, Instrumental software, and image stream config",,,,,,,,,,,
7.11,7,[Internal],AI models trained and validated for target product; model deployed to edge device,,,,,,,,,,,
7.12,7,[Internal],Automated review thresholds set,,,,,,,,,,,
7c. External / Site Preparation Begins,,,,,,,,,,,,,,
7.13,7,[External],Customer + CM + SI + Instrumental alignment meeting completed; all stakeholders aware of timeline,,,,,,,,,,,
7.14,7,[External],"Stakeholder matrix documented (Customer POC, CM POC, SI PM, Instrumental TPM/SA/HDE/CSE)",,,,,,,,,,,
7.15,7,[External],Escalation path defined: L1 CM > L2 SI > L3 Customer > L4 Instrumental > L5 Management,,,,,,,,,,,
7.16,7,[External],Installation location confirmed on floor plan; area clearing scheduled,,,,,,,,,,,
7.17,7,[External],"Power drops, network drops, compressed air (if needed) confirmed at station location",,,,,,,,,,,
7.18,7,[External],"IT readiness: IP addresses provided, firewall rules configured, ethernet ports tested",,,,,,,,,,,
7.19,7,[External],"MES integration requirements defined (protocol, endpoints, data fields, test environment)",,,,,,,,,,,
7.20,7,[External],Security clearance initiated for Instrumental + SI installation teams,,,,,,,,,,,
8. BUILD,,,,,,,,,,,,,,
8a. SI Fabrication & Assembly,,,,,,,,,,,,,,
8.1,8,[Internal],L/T materials purchased by SI,,,,,,,,,,,
8.2,8,[Internal],"Structure, standard ME parts, electrical parts, fabrication parts purchased",,,,,,,,,,,
8.3,8,[Internal],Mechanical assembly complete,,,,,,,,,,,
8.4,8,[Internal],Electrical assembly complete,,,,,,,,,,,
8.5,8,[Internal],PLC/PC program loaded and I/O check complete,,,,,,,,,,,
8b. Debugging & Trial Runs,,,,,,,,,,,,,,
8.6,8,[Both],Phase 1: Communication testing with Instrumental (offline) — verify station software connects,,,,,,,,,,,
8.7,8,[Internal],Single machine debugging and trial run complete,,,,,,,,,,,
8.8,8,[Internal],Whole line trial run complete (if multi-station deployment),,,,,,,,,,,
8c. Receive Provisioned Stations from Instrumental,,,,,,,,,,,,,,
8.9,8,[Internal],Provisioned station computers shipped to SI (or directly to site),,,,,,,,,,,
8.10,8,[Internal],"SI confirms receipt of all Instrumental-supplied hardware (cameras, lenses, lights, PCs)",,,,,,,,,,,
8.11,8,[Internal],Hardware integrated into SI-built fixture/cell,,,,,,,,,,,
8d. Ongoing Site Preparation (External),,,,,,,,,,,,,,
8.12,8,[External],Installation location physically cleared; evidence provided (photos),,,,,,,,,,,
8.13,8,[External],Floor load capacity verified for automated equipment,,,,,,,,,,,
8.14,8,[External],"Loading dock, forklift, rigging equipment confirmed for receiving",,,,,,,,,,,
8.15,8,[External],"Pathway from dock to install location cleared and measured (door widths, corridors, elevators)",,,,,,,,,,,
8.16,8,[External],Production line downtime scheduled and confirmed for installation window,,,,,,,,,,,
8.17,8,[External],Safety review of automated equipment completed by site safety team,,,,,,,,,,,
8.18,8,[External],PPE requirements communicated; who provides confirmed,,,,,,,,,,,
8.19,8,[External],Golden units and known defect samples prepared for validation,,,,,,,,,,,
8.20,8,[External],Operator scheduling: operators identified for training and initial production runs,,,,,,,,,,,
9. FAT (Factory Acceptance Test),,,,,,,,,,,,,,
9.1,9,[Both],FAT date confirmed: ___  |  Instrumental personnel attending identified,,,,,,,,,,,
9.2,9,[Both],FAT criteria documented and agreed between Instrumental and SI,,,,,,,,,,,
9a. FAT Criteria (customize per deployment),,,,,,,,,,,,,,
9.3,9,[Internal],"[ ] Mechanical: fixture dimensions within tolerance, smooth motion on all axes",,,,,,,,,,,
9.4,9,[Internal],"[ ] Imaging: camera focus, aperture, gain calibrated; image quality meets SIRD spec",,,,,,,,,,,
9.5,9,[Internal],"[ ] Automation: cycle time within budget, all motion sequences operational (load/unload, rotation, gantry)",,,,,,,,,,,
9.6,9,[Internal],"[ ] Software: Instrumental app connects, images upload successfully, health checks pass",,,,,,,,,,,
9.7,9,[Internal],"[ ] Safety: e-stops functional, guards in place, lockout/tagout verified",,,,,,,,,,,
9.8,9,[Internal],"[ ] Electrical: all I/O functional, wiring per schematic, power consumption within spec",,,,,,,,,,,
9.9,9,[Internal],"[ ] Barcode/unit tracking: scanner reads correctly, serial numbers captured",,,,,,,,,,,
9.10,9,[Internal],[ ] Data: images transfer at required resolution and speed,,,,,,,,,,,
9b. FAT Result & Sign-off,,,,,,,,,,,,,,
9.11,9,[Both],FAT Result: [ ] PASS  [ ] CONDITIONAL PASS (punch list with due dates)  [ ] FAIL (re-test date agreed),,,,,,,,,,,
9.12,9,[Internal],FAT sign-off: Instrumental SA: ___  Date: ___  |  SI QA: ___  Date: ___,,,,,,,,,,,
9.13,9,[Internal],If Conditional Pass: improvement items tracked and verified before shipment,,,,,,,,,,,
10. SHIPPED,,,,,,,,,,,,,,
10.1,10,[Both],"SI responsible for packing per agreed standards; fragile components secured (cameras, lenses, lights)",,,,,,,,,,,
10.2,10,[Both],Anti-static packaging for electronic components confirmed,,,,,,,,,,,
10.3,10,[Both],Shipping method confirmed: [ ] Sea  [ ] Air  [ ] Ground  |  Incoterm: ___,,,,,,,,,,,
10.4,10,[Both],Transit time aligned with deployment schedule; ETA at site: ___,,,,,,,,,,,
10.5,10,[Both],Insurance and risk of loss during transit assigned per SOW,,,,,,,,,,,
10.6,10,[Both],"Customs documentation prepared (commercial invoice, packing list, COO if applicable)",,,,,,,,,,,
10.7,10,[External],Receiving contact and location confirmed at destination site,,,,,,,,,,,
10.8,10,[External],Equipment storage location designated and secured,,,,,,,,,,,
10.9,10,[External],"Unloading equipment available (forklift, pallet jack, crane if needed)",,,,,,,,,,,
11. SAT (Site Acceptance Test),,,,,,,,,,,,,,
11a. Installation & Commissioning,,,,,,,,,,,,,,
11.1,11,[Both],SI installation team onsite; Instrumental deployment team onsite,,,,,,,,,,,
11.2,11,[Both],Equipment moved from storage to installation location; rigging complete,,,,,,,,,,,
11.3,11,[Both],Station installed and leveled at final production location,,,,,,,,,,,
11.4,11,[Both],"All connections verified: power, network, compressed air, cameras, PLC, MES",,,,,,,,,,,
11.5,11,[Internal],Instrumental software operational and communicating; health checks pass,,,,,,,,,,,
11.6,11,[Internal],Image stream and data stream configuration verified in production environment,,,,,,,,,,,
11b. SAT Criteria (customize per deployment),,,,,,,,,,,,,,
11.7,11,[Both],[ ] Golden unit validation passed,,,,,,,,,,,
11.8,11,[Both],[ ] Known defect sample detection verified,,,,,,,,,,,
11.9,11,[Both],[ ] Cycle time meets target UPH in production environment,,,,,,,,,,,
11.10,11,[Both],"[ ] Automation sequences operational (load/unload, tray feed, rotation) in production",,,,,,,,,,,
11.11,11,[Both],[ ] MES integration verified (data flowing to/from line systems),,,,,,,,,,,
11.12,11,[Both],[ ] Barcode scanning and serial number capture working,,,,,,,,,,,
11.13,11,[Both],[ ] Operator training completed,,,,,,,,,,,
11.14,11,[Both],[ ] 24hr/48hr production run completed without critical failures,,,,,,,,,,,
11c. SAT Result & Sign-off,,,,,,,,,,,,,,
11.15,11,[Both],SAT Result: [ ] PASS  [ ] CONDITIONAL PASS (punch list)  [ ] FAIL (remediation plan),,,,,,,,,,,
11.16,11,[Both],SAT sign-off: IN TPM: ___ | SI: ___ | CM/Customer: ___  Date: ___,,,,,,,,,,,
11.17,11,[Both],If PASS: Warranty clock starts. Station officially enters production.,,,,,,,,,,,
12. WARRANTY / LEGAL WINDOW (20-30 Days Post-SAT),,,,,,,,,,,,,,
12.1,12,[Internal],Warranty window start date: ___ (= SAT pass date)  |  Window end date: ___,,,,,,,,,,,
12.2,12,[Internal],Monitoring period: station performance tracked daily during warranty window,,,,,,,,,,,
12.3,12,[Internal],"Key metrics monitored: uptime %, UPH achieved, false alarm rate, image quality consistency",,,,,,,,,,,
12.4,12,[Internal],Any defects or failures during window documented with root cause and resolution,,,,,,,,,,,
12.5,12,[Both],"SI onsite support active: response time SLA enforced (e.g., onsite within 1 day)",,,,,,,,,,,
12.6,12,[Internal],Instrumental software/imaging escalation path active and tested,,,,,,,,,,,
12.7,12,[Both],Spare parts inventory confirmed on-site or regionally by SI,,,,,,,,,,,
12.8,12,[Internal],If critical issues arise: remediation plan agreed; warranty window may be extended,,,,,,,,,,,
12.9,12,[Internal],"Final payment milestone hold: last payment (e.g., 20%) held until warranty window closes cleanly",,,,,,,,,,,
12.10,12,[Internal],Legal review: confirm all contractual obligations met before closing deployment,,,,,,,,,,,
13. DEPLOYMENT COMPLETE,,,,,,,,,,,,,,
13a. Formal Closure,,,,,,,,,,,,,,
13.1,13,[Internal],Warranty window closed with no outstanding critical issues,,,,,,,,,,,
13.2,13,[Internal],Final payment milestone released to SI,,,,,,,,,,,
13.3,13,[Both],"Deployment formally accepted by all parties (Instrumental, SI, Customer, CM)",,,,,,,,,,,
13.4,13,[Internal],Deployment serial number and asset registered in deployment portal / webapp,,,,,,,,,,,
13.5,13,[Internal],"Warranty start date, coverage scope, and SI SLA terms recorded in system of record",,,,,,,,,,,
13.6,13,[Internal],Approved drawing/spec revision logged in asset registry,,,,,,,,,,,
13b. Knowledge Transfer & Ongoing Operations,,,,,,,,,,,,,,
13.7,13,[Both],CM maintenance personnel trained on daily and preventative maintenance,,,,,,,,,,,
13.8,13,[Both],Troubleshooting guide provided to CM,,,,,,,,,,,
13.9,13,[Both],Escalation contacts documented: L1 CM POC > L2 SI POC > L3 Instrumental,,,,,,,,,,,
13.10,13,[Internal],Quality data review cadence established (weekly/monthly),,,,,,,,,,,
13.11,13,[Internal],"First article review completed; FPY, false alarm rate, process improvement metrics baselined",,,,,,,,,,,
13.12,13,[Internal],Lessons learned documented; feedback incorporated into SIRD template for future deployments,,,,,,,,,,,
13.13,13,[Internal],"SI scorecard updated: lead time, install quality, FAT first-pass rate, documentation quality",,,,,,,,,,,
13c. Branding & IP,,,,,,,,,,,,,,
13.14,13,[Internal],"""Instrumental Inside"" branding/sticker applied to deployed station (if applicable)",,,,,,,,,,,
13.15,13,[Internal],Station hardening and source code protection verified post-deployment,,,,,,,,,,,
,,,,,,,,,,,,,,
Notes / Additional Items:,,,,,,,,,,,,,,